RegionName,RegionName,2018 Total Sales ,2019 Total Sales ,2020 Total Sales,2021 Total Sales,DIF 1819,DIF1920,DIF2021
"Akron, OH",OH,9468,8972,9099,5097,496,-127,4002
"North Port-Sarasota-Bradenton, FL",FL,27108,27335,28764,32674,-227,-1429,-3910
"Little Rock, AR",AR,12421,12522,13892,12685,-101,-1370,1207
"Stockton, CA", CA,9079,9150,9610,9119,-71,-460,491
"Charleston, SC",SC,19881,21149,22058,23659,-1268,-909,-1601
"Syracuse, NY", NY,8062,7974,8023,5178,88,-49,2845
"Colorado Springs, CO", CO,19841,19958,20907,19591,-117,-949,1316
"Winston-Salem, NC",NC,11010,10980,11687,4673,30,-707,7014
"Wichita, KS",KS,4989,4379,4100,1287,610,279,2813
"Springfield, MA",MA,7053,7252,7494,7790,-199,-242,-296
"Fort Myers, FL", FL,25135,25431,27963,38503,-296,-2532,-10540
"Boise City, ID", ID,18096,16564,17872,15743,1532,-1308,2129
"Toledo, OH", OH,6134,5500,5614,2184,634,-114,3430
"Madison, WI", WI,10439,9511,10130,8635,928,-619,1495
"Lakeland, FL", FL,14970,16902,15385,14157,-1932,1517,1228
"Ogden, UT", UT,10396,10477,10981,4473,-81,-504,6508
"Daytona Beach, FL", FL,18523,18023,19234,21443,500,-1211,-2209
"Des Moines, IA",IA,14958,14020,16547,15723,938,-2527,824
"Provo, UT", UT,8355,8656,9590,4122,-301,-934,5468
"Durham, NC", NC,11661,12019,10982,10975,-358,1037,7
"Fort Collins, CO", CO,8000,8011,9215,6421,-11,-1204,2794
